ID,Grade,Count,Success,Style,Type
1,5.1,1,Send,TR/Follow,Trad
1,5.1,7,Send,Lead,Trad
2,5.2,1,Send,LRS,Trad
2,5.2,3,Send,TR/Follow,Trad
2,5.2,31,Send,Lead,Trad
3,5.3,4,Send,TR/Follow,Trad
3,5.3,12,Send,Lead,Trad
4,5.4,3,Send,Lead,Sport
4,5.4,7,Send,LRS,Trad
4,5.4,12,Send,TR/Follow,Trad
4,5.4,61,Send,Lead,Trad
5,5.5,1,Send,LRS,Sport
5,5.5,1,Send,TR/Follow,Sport
5,5.5,3,Send,LRS,Trad
5,5.5,6,Send,Lead,Sport
5,5.5,7,Send,TR/Follow,Trad
5,5.5,30,Send,Lead,Trad
6,5.6,1,Send,LRS,Sport
6,5.6,2,Send,TR/Follow,Sport
6,5.6,9,Send,LRS,Trad
6,5.6,11,Send,Lead,Sport
6,5.6,26,Send,TR/Follow,Trad
6,5.6,42,Send,Lead,Trad
7,5.7-,1,Send,TR/Follow,Trad
7,5.7-,2,Send,Lead,Trad
8,5.7,1,Fell/Hung,TR/Follow,Trad
8,5.7,2,Fell/Hung,Lead,Sport
8,5.7,8,Send,LRS,Trad
8,5.7,9,Send,TR/Follow,Sport
8,5.7,17,Send,TR/Follow,Trad
8,5.7,25,Send,Lead,Sport
8,5.7,50,Send,Lead,Trad
9,5.7+,1,Send,LRS,Sport
9,5.7+,2,Send,LRS,Trad
9,5.7+,6,Send,Lead,Sport
9,5.7+,9,Send,TR/Follow,Trad
9,5.7+,12,Send,Lead,Trad
10,5.8-,2,Send,Lead,Trad
10,5.8-,3,Send,Lead,Sport
10,5.8-,3,Send,TR/Follow,Sport
11,5.8,1,Fell/Hung,LRS,Sport
11,5.8,2,Fell/Hung,Lead,Sport
11,5.8,2,Send,LRS,Sport
11,5.8,3,Fell/Hung,Lead,Trad
11,5.8,6,Send,LRS,Trad
11,5.8,10,Send,TR/Follow,Sport
11,5.8,22,Send,TR/Follow,Trad
11,5.8,33,Send,Lead,Sport
11,5.8,44,Send,Lead,Trad
12,5.8+,1,Fell/Hung,Lead,Sport
12,5.8+,1,Send,LRS,Trad
12,5.8+,1,Send,TR/Follow,Sport
12,5.8+,2,Send,TR/Follow,Trad
12,5.8+,4,Send,Lead,Trad
12,5.8+,6,Send,Lead,Sport
13,5.9-,1,Send,TR/Follow,Trad
13,5.9-,3,Send,Lead,Trad
14,5.9,1,Send,LRS,Sport
14,5.9,2,Fell/Hung,Lead,Trad
14,5.9,4,Send,LRS,Trad
14,5.9,6,Fell/Hung,TR/Follow,Trad
14,5.9,8,Send,TR/Follow,Sport
14,5.9,14,Send,TR/Follow,Trad
14,5.9,25,Send,Lead,Sport
14,5.9,33,Send,Lead,Trad
15,5.9+,1,Fell/Hung,Lead,Sport
15,5.9+,1,Fell/Hung,TR/Follow,Sport
15,5.9+,1,Fell/Hung,TR/Follow,Trad
15,5.9+,1,Send,LRS,Sport
15,5.9+,2,Send,TR/Follow,Sport
15,5.9+,2,Send,TR/Follow,Trad
15,5.9+,7,Send,Lead,Trad
15,5.9+,9,Send,Lead,Sport
17,5.10a,1,Fell/Hung,TR/Follow,Sport
17,5.10a,2,Fell/Hung,LRS,Sport
17,5.10a,3,Send,LRS,Trad
17,5.10a,4,Send,LRS,Sport
17,5.10a,5,Fell/Hung,Lead,Sport
17,5.10a,6,Fell/Hung,Lead,Trad
17,5.10a,9,Fell/Hung,TR/Follow,Trad
17,5.10a,9,Send,TR/Follow,Sport
17,5.10a,31,Send,TR/Follow,Trad
17,5.10a,34,Send,Lead,Trad
17,5.10a,36,Send,Lead,Sport
18,5.10b,2,Fell/Hung,TR/Follow,Trad
18,5.10b,4,Fell/Hung,Lead,Sport
18,5.10b,4,Fell/Hung,Lead,Trad
18,5.10b,8,Send,TR/Follow,Sport
18,5.10b,8,Send,TR/Follow,Trad
18,5.10b,9,Send,Lead,Trad
18,5.10b,26,Send,Lead,Sport
19,5.10c,2,Fell/Hung,Lead,Trad
19,5.10c,2,Fell/Hung,TR/Follow,Sport
19,5.10c,2,Send,Lead,Trad
19,5.10c,3,Fell/Hung,TR/Follow,Trad
19,5.10c,5,Send,TR/Follow,Sport
19,5.10c,14,Fell/Hung,Lead,Sport
19,5.10c,29,Send,Lead,Sport
20,5.10d,1,Fell/Hung,TR/Follow,Sport
20,5.10d,2,Fell/Hung,TR/Follow,Trad
20,5.10d,2,Send,TR/Follow,Sport
20,5.10d,3,Fell/Hung,Lead,Trad
20,5.10d,4,Fell/Hung,Lead,Sport
20,5.10d,5,Send,Lead,Sport
20,5.10d,5,Send,TR/Follow,Trad
20,5.10d,7,Send,Lead,Trad
22,5.11a,1,Fell/Hung,TR/Follow,Trad
22,5.11a,1,Send,LRS,Sport
22,5.11a,3,Fell/Hung,Lead,Trad
22,5.11a,6,Send,Lead,Trad
22,5.11a,10,Send,TR/Follow,Sport
22,5.11a,13,Fell/Hung,Lead,Sport
22,5.11a,17,Send,TR/Follow,Trad
22,5.11a,19,Send,Lead,Sport
23,5.11b,1,Fell/Hung,LRS,Trad
23,5.11b,1,Fell/Hung,TR/Follow,Trad
23,5.11b,1,Send,TR/Follow,Sport
23,5.11b,1,Send,TR/Follow,Trad
23,5.11b,2,Fell/Hung,TR/Follow,Sport
23,5.11b,8,Fell/Hung,Lead,Sport
23,5.11b,10,Send,Lead,Sport
24,5.11c,1,Fell/Hung,Lead,Trad
24,5.11c,2,Fell/Hung,TR/Follow,Sport
24,5.11c,2,Send,TR/Follow,Sport
24,5.11c,3,Send,Lead,Sport
24,5.11c,4,Fell/Hung,Lead,Sport
25,5.11d,1,Fell/Hung,Lead,Trad
25,5.11d,1,Fell/Hung,TR/Follow,Trad
25,5.11d,1,Send,TR/Follow,Sport
25,5.11d,2,Fell/Hung,TR/Follow,Sport
25,5.11d,2,Send,Lead,Trad
25,5.11d,4,Fell/Hung,Lead,Sport
27,5.12a,1,Fell/Hung,Lead,Trad
27,5.12a,1,Send,Lead,Sport
27,5.12a,1,Send,TR/Follow,Sport
27,5.12a,2,Fell/Hung,TR/Follow,Trad
27,5.12a,7,Fell/Hung,TR/Follow,Sport
27,5.12a,31,Fell/Hung,Lead,Sport
28,5.12b,2,Fell/Hung,TR/Follow,Sport
28,5.12b,9,Fell/Hung,Lead,Sport
29,5.12c,1,Fell/Hung,Lead,Sport
