Grade ID,Grade,Count,Climb Type,Year
2,5.2,1,Trad,2021
2,5.2,4,Trad,2023
2,5.2,11,Trad,2025
2,5.2,15,Trad,2026
2,5.2,19,Trad,2024
3,5.3,1,Trad,2021
3,5.3,1,Trad,2023
3,5.3,1,Trad,2026
3,5.3,2,Trad,2020
3,5.3,2,Trad,2022
3,5.3,3,Trad,2025
3,5.3,8,Trad,2024
4,5.4,1,Sport,2021
4,5.4,1,Trad,2022
4,5.4,1,Trad,2023
4,5.4,2,Sport,2026
4,5.4,2,Trad,2020
4,5.4,17,Trad,2026
4,5.4,20,Trad,2025
4,5.4,47,Trad,2024
5,5.5,1,Sport,2023
5,5.5,1,Trad,2019
5,5.5,2,Sport,2022
5,5.5,2,Sport,2025
5,5.5,2,Trad,2022
5,5.5,2,Trad,2026
5,5.5,4,Sport,2026
5,5.5,4,Trad,2021
5,5.5,6,Trad,2025
5,5.5,7,Trad,2024
5,5.5,9,Trad,2023
5,5.5,12,Trad,2020
6,5.6,1,Sport,2019
6,5.6,1,Sport,2024
6,5.6,1,Trad,2019
6,5.6,2,Sport,2020
6,5.6,2,Sport,2026
6,5.6,3,Sport,2022
6,5.6,6,Sport,2025
6,5.6,6,Trad,2021
6,5.6,6,Trad,2022
6,5.6,9,Trad,2020
6,5.6,10,Trad,2023
6,5.6,14,Trad,2025
6,5.6,15,Trad,2026
6,5.6,24,Trad,2024
8,5.7,2,Sport,2021
8,5.7,2,Sport,2023
8,5.7,4,Trad,2019
8,5.7,4,Sport,2020
8,5.7,7,Sport,2022
8,5.7,4,Sport,2026
8,5.7,13,Trad,2020
8,5.7,8,Trad,2022
8,5.7,7,Sport,2019
8,5.7,7,Trad,2021
8,5.7,8,Sport,2024
8,5.7,11,Trad,2026
8,5.7,11,Sport,2025
8,5.7,17,Trad,2023
8,5.7,24,Trad,2025
8,5.7,24,Trad,2024
11,5.8,4,Sport,2019
11,5.8,4,Sport,2021
11,5.8,6,Sport,2023
11,5.8,6,Sport,2025
11,5.8,5,Sport,2026
11,5.8,6,Trad,2021
11,5.8,12,Sport,2020
11,5.8,8,Sport,2024
11,5.8,14,Trad,2023
11,5.8,12,Trad,2022
11,5.8,12,Trad,2025
11,5.8,15,Trad,2020
11,5.8,13,Trad,2026
11,5.8,17,Sport,2022
11,5.8,18,Trad,2024
14,5.9,3,Sport,2019
14,5.9,4,Sport,2020
14,5.9,3,Trad,2021
14,5.9,7,Sport,2022
14,5.9,7,Sport,2023
14,5.9,4,Sport,2024
14,5.9,4,Trad,2026
14,5.9,5,Sport,2021
14,5.9,8,Trad,2022
14,5.9,9,Sport,2025
14,5.9,7,Trad,2024
14,5.9,9,Sport,2026
14,5.9,18,Trad,2020
14,5.9,18,Trad,2025
14,5.9,21,Trad,2023
17,5.10a,2,Trad,2021
17,5.10a,3,Sport,2023
17,5.10a,4,Sport,2019
17,5.10a,4,Sport,2021
17,5.10a,4,Trad,2026
17,5.10a,6,Sport,2026
17,5.10a,7,Sport,2025
17,5.10a,9,Trad,2022
17,5.10a,10,Sport,2022
17,5.10a,12,Sport,2024
17,5.10a,13,Sport,2020
17,5.10a,14,Trad,2024
17,5.10a,15,Trad,2025
17,5.10a,16,Trad,2023
17,5.10a,26,Trad,2020
18,5.10b,1,Sport,2019
18,5.10b,2,Sport,2025
18,5.10b,2,Trad,2026
18,5.10b,3,Sport,2021
18,5.10b,3,Trad,2025
18,5.10b,4,Sport,2020
18,5.10b,4,Sport,2026
18,5.10b,4,Trad,2024
18,5.10b,5,Trad,2020
18,5.10b,5,Trad,2022
18,5.10b,6,Trad,2023
18,5.10b,8,Sport,2022
18,5.10b,8,Sport,2024
18,5.10b,9,Sport,2023
19,5.10c,1,Trad,2024
19,5.10c,1,Trad,2025
19,5.10c,2,Sport,2023
19,5.10c,2,Sport,2026
19,5.10c,2,Trad,2022
19,5.10c,3,Sport,2021
19,5.10c,3,Sport,2024
19,5.10c,3,Trad,2020
19,5.10c,7,Sport,2025
19,5.10c,8,Sport,2022
19,5.10c,9,Sport,2019
19,5.10c,16,Sport,2020
20,5.10d,1,Sport,2020
20,5.10d,1,Sport,2021
20,5.10d,1,Trad,2022
20,5.10d,2,Sport,2019
20,5.10d,2,Sport,2022
20,5.10d,2,Sport,2023
20,5.10d,2,Sport,2025
20,5.10d,2,Sport,2026
20,5.10d,2,Trad,2019
20,5.10d,3,Trad,2023
20,5.10d,3,Trad,2024
20,5.10d,3,Trad,2025
20,5.10d,5,Trad,2020
22,5.11a,3,Sport,2021
22,5.11a,3,Sport,2024
22,5.11a,3,Sport,2026
22,5.11a,3,Trad,2020
22,5.11a,3,Trad,2022
22,5.11a,4,Trad,2023
22,5.11a,5,Sport,2020
22,5.11a,5,Trad,2024
22,5.11a,7,Trad,2026
22,5.11a,8,Sport,2023
22,5.11a,9,Trad,2025
22,5.11a,11,Sport,2022
22,5.11a,11,Sport,2025
23,5.11b,1,Sport,2024
23,5.11b,1,Sport,2025
23,5.11b,1,Trad,2024
23,5.11b,2,Sport,2026
23,5.11b,2,Trad,2020
23,5.11b,3,Sport,2020
23,5.11b,6,Sport,2023
23,5.11b,8,Sport,2022
24,5.11c,1,Sport,2020
24,5.11c,1,Sport,2022
24,5.11c,1,Sport,2025
24,5.11c,1,Sport,2026
24,5.11c,1,Trad,2025
24,5.11c,1,Trad,2026
24,5.11c,2,Sport,2023
24,5.11c,5,Sport,2021
25,5.11d,1,Sport,2024
25,5.11d,3,Sport,2026
25,5.11d,3,Trad,2023
25,5.11d,5,Sport,2023
27,5.12a,1,Trad,2023
27,5.12a,1,Trad,2024
27,5.12a,1,Trad,2025
27,5.12a,2,Sport,2020
27,5.12a,2,Sport,2022
27,5.12a,6,Sport,2023
27,5.12a,7,Sport,2024
27,5.12a,7,Sport,2026
27,5.12a,17,Sport,2025
28,5.12b,1,Sport,2025
28,5.12b,2,Sport,2022
28,5.12b,2,Sport,2026
28,5.12b,7,Sport,2023
29,5.12c,1,Sport,2026
