date,grade,name,type
2019-07-31,5.8,"Chicken Bone",Sport
2019-09-20,5.7,"Mild Mannered Secretary",Sport
2019-09-20,5.10a,"Pump Street",Sport
2019-10-04,5.7,"Pole Dancing",Sport
2019-11-09,5.10d,"Black Hole",Sport
2019-12-27,5.7,"Pole Dancing",Sport
2019-12-27,5.9,"Black Rain",Sport
2019-12-27,5.10c,"Devil in the White House",Sport
2019-12-27,5.8-,"Pilot Error (chicken bone right)",Sport
2019-12-27,5.7+,Vegomatic,Trad
2020-02-01,5.10c,"Devil in the White House",Sport
2020-02-15,5.7+,Vegomatic,Trad
2020-02-15,5.6,"Grandpa's Belay",Trad
2020-03-14,5.10a,"Hot Yoga",Sport
2020-03-14,5.10a,"Smooth Sailing (aka Lloyd Would Have Liked It)",Sport
2020-05-10,5.5,"Easy Hard",Trad
2020-05-10,5.6,"Head Jam",Trad
2020-05-16,5.5,"Sentinel Buttress",Trad
2020-05-16,5.6,"Head Jam",Trad
2020-05-16,5.6,Washboard,Trad
2020-05-17,5.7,"U Slot",Trad
2020-05-17,5.5,"The Great Arch",Trad
2020-05-24,5.10a,"Hot Yoga",Sport
2020-06-06,5.5,"North Ridge",Trad
2020-06-22,5.10a,"The Medallion",Trad
2020-07-12,5.10d,"The Herculean Test",Trad
2020-07-12,5.10c,"Henar Lite",Sport
2020-07-18,5.10c,"Devil in the White House",Sport
2020-07-18,5.10d,"The Herculean Test",Trad
2020-07-18,5.7,"Crackin' Up",Trad
2020-07-18,5.10c,Erocktica,Sport
2020-07-19,5.10a,"White Trash",Sport
2020-07-19,5.8,"Son of White Trash",Sport
2020-07-27,5.6,"Tee Ball",Sport
2020-07-27,5.10a,Redacted,Sport
2020-07-27,5.8+,"Iced Tee",Sport
2020-08-02,5.9,"All Gold Everything",Trad
2020-08-02,5.6,"Tee Ball",Sport
2020-08-02,5.8,"Tight Rope",Sport
2020-08-09,5.8+,Ironman,Sport
2020-08-09,5.11a,"Teflon Toes",Sport
2020-08-09,5.10c,Erocktica,Sport
2020-08-16,5.6,"My Route",Trad
2020-08-30,5.10a,"The Medallion",Trad
2020-08-30,5.7,"Flatten your Curves",Sport
2020-09-05,5.8,"Bubba Safari",Trad
2020-09-05,5.9,"Basic Bubba Crack",Trad
2020-09-06,5.6,"The Distortionist",Trad
2020-09-19,5.7+,"Hippie Dreams",Sport
2020-09-19,5.9+,"Chunko Goes Bowling",Sport
2020-09-20,5.9,"You Want It, You Got It",Sport
2020-09-20,5.10a,"Out of Mind",Trad
2020-09-26,5.9-,"The Grafenburg Crack",Trad
2020-09-27,5.8,Hysteria,Trad
2020-10-03,5.7+,"Fruit Loops",Trad
2020-10-03,5.8+,Granola,Trad
2020-10-17,5.3,"Skyline Traverse",Trad
2020-10-17,5.8,"The Burn",Trad
2020-10-18,5.5,"Southwest Buttress Variation",Trad
2020-10-24,5.10a,"Rover B. Dog",Sport
2020-10-24,5.10b,"Dutch Boy",Sport
2020-10-24,5.10c,"Huecool Junior",Sport
2020-10-31,5.5,"Entrance Crack",Trad
2020-10-31,5.5,"The Great Arch",Trad
2020-11-22,5.9+,"Frosted Flake",Trad
2020-11-27,5.10a,"Orange Oswald",Sport
2020-11-27,5.10b,"Orange Express",Sport
2020-11-27,5.8,"Jeff's Bunny Hop",Sport
2020-11-28,5.9,"New Yosemite",Trad
2020-12-06,5.4,"The Prow",Trad
2020-12-12,5.7,"U Slot",Trad
2020-12-19,5.8,Crackerjack,Trad
2020-12-19,5.5,"Cave Route",Trad
2021-01-16,5.8+,Ironman,Sport
2021-01-16,5.10b,"The Black Hole",Sport
2021-02-09,5.7+,"Glory and Consequence",Sport
2021-02-09,5.8,"Ohio Climbing",Sport
2021-02-20,5.7+,"Block Route",Trad
2021-02-20,5.5,"No Alternative",Trad
2021-03-14,5.7,"Edges to Ledges",Trad
2021-03-14,5.10a,"Lucy in the Sky with Diamonds",Trad
2021-03-20,5.8,"The Nose",Trad
2021-04-02,5.10c,"Devil in the White House",Sport
2021-04-12,5.10a,"59"" DrillBitch",Sport
2021-04-13,5.6,"Bedtime for Bonzo",Trad
2021-04-15,5.9,"Norway On My Mind",Sport
2021-05-08,5.9,"Dude on the Corner",Sport
2021-05-09,5.6,"Wailing Wall",Trad
2021-05-09,5.5,"Sentinel Buttress",Trad
2021-05-26,5.4,"Regular Route (""East Rib"")",Sport
2021-05-28,5.9,Terma,Trad
2021-05-29,5.7,"North Ridge",Trad
2021-05-30,5.7,"South Face",Trad
2021-06-02,5.10a,"13 Bolt (Ride Hard, Die Free)",Sport
2021-06-02,5.9,"Poker in the Rear",Trad
2021-06-03,5.7,"The Worm Hole",Trad
2021-06-03,5.10a,"Buddha's Belly",Sport
2021-06-05,5.10a,"King Me",Trad
2021-06-05,5.9-,"The Maiden Voyage aka The Red Dihedral",Trad
2021-07-05,5.8+,"Groover (Gaskin Finish)",Trad
2021-07-11,5.8,"Another Alternative",Trad
2021-07-11,5.5,"The Great Arch",Trad
2021-08-18,5.8,"Junior's Farm",Trad
2021-09-22,5.6,"Climbing Merit Badge",Trad
2021-09-22,5.8,"That Eight (aka Kennel Club)",Sport
2021-10-11,5.7,Bernalina,Sport
2022-02-05,5.6,"Whiskey Sour",Trad
2022-02-05,5.11a,"Old Man's Sport Route",Sport
2022-02-20,5.10a,"S Crack",Trad
2022-02-20,5.8,Flakey,Trad
2022-02-20,5.9,"5.9 Offwidth",Trad
2022-02-20,5.7,"Ramp Arete",Sport
2022-04-09,5.8,"Skull & Bones",Sport
2022-04-09,5.10a,"Play It Again",Trad
2022-04-09,5.9,"Wrestling with the Textonic",Sport
2022-04-09,5.9,Hurly-Burly,Sport
2022-04-09,5.10a,"Pontius Pilot",Sport
2022-04-15,5.7+,Novi,Sport
2022-04-15,5.7,"Over Booked",Sport
2022-04-15,5.10c,"Man Overboard",Sport
2022-04-15,5.8,"Walk the Plank",Sport
2022-04-15,5.10c,"Devil in the White House",Sport
2022-04-15,5.6,Aerophobia,Sport
2022-05-27,5.9+,"Mata Burro",Sport
2022-05-27,5.10a,ResPira,Sport
2022-05-27,5.11a,R2D2,Sport
2022-05-29,5.5,"Mauricio Mota",Sport
2022-05-29,5.6,"Vilma Arnaud",Sport
2022-05-29,5.5,Graalzinho,Sport
2022-05-29,5.6,"Formiga Atomica",Sport
2022-05-29,5.7,"Inversao Feminina",Sport
2022-05-29,5.11b,"Mico Mija",Sport
2022-05-30,5.9,"Crystal Cannibal",Sport
2022-06-01,5.8,"Diedro Pegasus",Trad
2022-06-02,5.9,K2,Trad
2022-06-05,5.10a,"Via dos Italianos",Sport
2022-06-06,5.7+,"Chamine Stop",Trad
2022-06-07,5.4,Despacito,Trad
2022-06-07,5.9+,Thanos,Trad
2022-06-29,5.10b,Helgepraten,Sport
2022-06-29,5.8,Hallingmarsjen,Sport
2022-06-30,5.10b,Hoppalong,Sport
2022-06-30,5.8,"Bakom Synger Skogene",Sport
2022-07-02,5.8,Solstikk,Trad
