Date,Route,Rating,Commitment,Route Type,Area,Aid Rating,Notes,Pitches,GPS,Style,Lead Style,Length
2025-04-01,Grizzly Adams,5.11a,,Sport,Nelson Rocks,,Grizzly Adams at nrocks. Hung a couple times but I think it will go without too much projecting!,1,"38.695500, -79.465000",Lead,Fell/Hung,60
2025-04-01,Lifers,5.10a,,Sport,Nelson Rocks,,Lifers at nrocks,1,"38.695500, -79.465000",Lead,Redpoint,
2025-04-01,Dominion,5.10b,,Sport,Nelson Rocks,,"Dominion at nrocks. Fell on the second to last bolt, was kinda pumped out from earlier!",1,"38.695500, -79.465000",Lead,Fell/Hung,
2025-04-01,Crescendo,5.10a,,Trad,Nelson Rocks,,Clean TR,1,"38.695500, -79.465000",TR,Clean,120
2025-03-28,Unknown 5.10c,5.10c,,Trad,Nelson Rocks,,A hard finger crack corner near the summit at NRocks. Probably already climbed but I cant find info on it anywhere,1,"38.695500, -79.465000",Lead,Fell/Hung,75
2025-03-25,The Petting Zoo,5.10b,,Trad,Nelson Rocks,,The Petting Zoo at NRocks. Fun line!,1,"38.695500, -79.465000",Lead,Onsight,
2025-03-25,The Wax Museum,5.10a,,Trad,Nelson Rocks,,I think I did an easier version of The Wax Museum at NRocks. Get into the finger cracks earlier next time!,1,"38.695500, -79.465000",Lead,Onsight,
2025-03-25,Ed's Fudge Shop,5.10a,,Trad,Nelson Rocks,,One extra lap on TR,2,"38.695500, -79.465000",Lead,Onsight,65
2025-03-22,Cast of Thousands,5.10a,,Trad,Seneca Rocks,,TR solo laps,5,"38.833800, -79.366300",TR,Clean,200
2025-03-19,Worrell's Thicket,5,,Trad,Seneca Rocks,,Resin run!,2,"38.833800, -79.366300",Solo,Clean,160
2025-03-18,West Pole,5.7+,,Trad,Seneca Rocks,,"LRS w/ Revo, +1 pitch to clean and +1 scramble approach pitch. Woo!!",3,"38.833800, -79.366300",Lead,Redpoint,180
2025-03-08,Devil in the White House,5.10c,,Sport,Pilot Mountain,,,1,"36.340200, -80.480780",Lead,Redpoint,60
2025-03-08,Silhouette,5.9,,Sport,Pilot Mountain,,Pretty fun adventurey sport climb!,1,"36.340200, -80.480780",Lead,Onsight,85
2025-03-08,Man Overboard,5.10c,,Sport,Pilot Mountain,,Still schweet,1,"36.340200, -80.480780",Lead,Redpoint,70
2025-02-06,Kakaroots,5.9,,Sport,Cantagalo,,W/ Kim. Started at ~6:30 just before sunset and got back to the base at 9,3,"-22.978850, -43.196080",Lead,Redpoint,250
2025-02-02,Costao,5.7,,Sport,Pao de Acucar,,With Kim. A very curious marmoset trying to sneak into our bag for a sammie,1,"-22.949900, -43.159100",Lead,Redpoint,1000
2025-02-02,Coringa,5.6,,Sport,Pao de Acucar,,With Kim for her first ever climb! Legendary. Suuuuper hot for the first two pitches though ,4,"-22.949900, -43.159100",Lead,Redpoint,330
2025-02-01,Ovos Na Chapa,5.9,,Trad,Morro Dona Marta,,"Led P1, followed P2 w/ Henrique. Got spooked by gathering clouds so we skipped town. Weirdly felt most sketched out on this climb out of all my climbing on this trip so far! Damn friction slab, man",2,"-22.942620, -43.195910",Lead,Onsight,735
2025-02-01,Fissura Esquecida,5.10a,,Trad,Morro Dona Marta,,So fun!! The nut in the flake halfway up was way better than I thought. It didn’t even pull out when I lowered *shock and awe*,1,"-22.942620, -43.195910",Lead,Onsight,100
2025-01-31,Passagem dos Olhos,5.8,,Sport,Pedra da Gavea,,"LRS with revo. Linked pitches 2&3. Learned some tricks for LRS traversing! Saw a fox briefly on the approach trail from pitch 2 so cute. Beautiful setting!! 6h13m gate to gate, and I took several long snack breaks!",11,"-22.997080, -43.284640",Lead,Onsight,475
2025-01-30,Inversão Feminina,5.7,,Sport,Graalzinho,,TR solo. No falls,1,"-22.95173, -43.15762",TR,Clean,45
2025-01-30,Via do Crico,5.8,,Sport,Graalzinho,,TR solo. No falls ,1,"-22.95173, -43.15762",TR,Clean,45
2025-01-30,Rapunzel,5.9,,Sport,Graalzinho,,TR solo. No falls,1,"-22.95173, -43.15762",TR,Clean,35
2025-01-30,Para os Baixinhos,5.9,,Sport,Graalzinho,,TR solo. No falls,1,"-22.95173, -43.15762",TR,Clean,35
2025-01-30,Formiga Atômica,5.6,,Sport,Graalzinho,,TR solo. No falls ,1,"-22.95173, -43.15762",TR,Clean,45
2025-01-30,Graalzinho,5.5,,Sport,Graalzinho,,LRS with revo. ,1,"-22.95173, -43.15762",Lead,Redpoint,45
2025-01-29,Infravermelho,5.6,,Trad,Morro da Urca,,LRS with revo. Got rained off at the top of P1 by a lightning storm. Still worth it!,1,"-22.9504, -43.1635",Lead,Onsight,310
2025-01-23,Costao,5.7,,Sport,Pao de Acucar,,Guided Sigrid,1,"-22.949900, -43.159100",Lead,Redpoint,1000
2025-01-23,Coringa,5.6,,Sport,Pao de Acucar,,Guided Sigrid,4,"-22.949900, -43.159100",Lead,Redpoint,330
2025-01-20,Kakaroots,5.9,,Sport,Cantagalo,,"LRS w/ revo. Started 15 minutes before sunset to beat the heat, climbed most of it in the dark by headlamp. Crossed paths with two women rapping down as I was finishing up P1. Rigged P3 to rap after leading it so I didn&#39;t have to reclimb. Beautiful views of the city the whole way up!",5,"-22.978850, -43.196080",Lead,Onsight,250
2025-01-18,CERJ,5.9,PG13,Trad,Capacete,,"Swung leads with Henrique, I took evens plus the 9th pitch. Had to traverse a water streak twice on the crux pitch! Such an incredible climb, absolute classic!! Followed the A0 pitch, but got it clean. Would love to come back and lead odds to lead the 5.10 pitch too. 6 hours base to summit ",9,"22.33888, -42.72446",Lead,Onsight,1312
